ID,Nom de l’œuvre,Artiste,Période / Thème,Rareté,URL Image,Description / Anecdote,Pack disponible,Notes
1,La Joconde,Léonard de Vinci,Renaissance,Légendaire,https://upload.wikimedia.org/wikipedia/commons/6/6a/Mona_Lisa.jpg,Portrait célèbre du Louvre,Thématique & Mystère,Carte spéciale
2,David,Michel-Ange,Renaissance,Épique,https://upload.wikimedia.org/wikipedia/commons/b/bb/%27David%27_by_Michelangelo_Fir_JBU004.jpg,Statue emblématique,Thématique & Mystère,-
3,La Création d’Adam,Michel-Ange,Renaissance,Épique,https://upload.wikimedia.org/wikipedia/commons/e/e0/Creaci%C3%B3n_de_Ad%C3%A1n.jpg,Fresque de la Chapelle Sixtine,Thématique & Mystère,-
4,L’Homme de Vitruve,Léonard de Vinci,Renaissance,Rare,https://upload.wikimedia.org/wikipedia/commons/f/f1/Vitruvian_Man_by_Leonardo_da_Vinci.jpg,Dessin anatomique,Thématique,-
5,La Nuit étoilée,Vincent Van Gogh,Post-Impressionnisme,Rare,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg/970px-Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg,Célèbre peinture nocturne,Thématique & Mystère,-
6,Les Nymphéas,Claude Monet,Impressionnisme,Rare,https://upload.wikimedia.org/wikipedia/commons/0/05/Claude_Monet_038.jpg,Série de tableaux sur les nénuphars,Thématique,-
7,La Jeune Fille à la perle,Johannes Vermeer,Baroque,Rare,https://upload.wikimedia.org/wikipedia/commons/6/66/Johannes_Vermeer_%281632-1675%29_-_The_Girl_With_The_Pearl_Earring_%281665%29.jpg,Portrait célèbre,Thématique,-
8,Le Cri,Edvard Munch,Expressionnisme,Épique,https://upload.wikimedia.org/wikipedia/commons/c/c5/Edvard_Munch%2C_1893%2C_The_Scream%2C_oil%2C_tempera_and_pastel_on_cardboard%2C_91_x_73_cm%2C_National_Gallery_of_Norway.jpg,Peinture norvégienne,Thématique & Mystère,-
9,Guernica,Pablo Picasso,Cubisme,Légendaire,https://upload.wikimedia.org/wikipedia/commons/6/6f/Mural_del_Gernika.jpg,Tableau emblématique contre la guerre,Thématique & Mystère,-
10,Le Baiser,Gustav Klimt,Art Nouveau,Épique,https://upload.wikimedia.org/wikipedia/commons/4/40/The_Kiss_-_Gustav_Klimt_-_Google_Cultural_Institute.jpg,Célèbre œuvre viennoise,Thématique,-
11,American Gothic,Grant Wood,Modernisme,Rare,https://upload.wikimedia.org/wikipedia/commons/c/cc/Grant_Wood_-_American_Gothic_-_Google_Art_Project.jpg,Peinture iconique américaine,Thématique,-
12,La Persistance de la Mémoire,Salvador Dalí,Surréalisme,Épique,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTnzPmG2aBtQpB1oZDAR2kKZDzK4qYWPouBIavJhg5XP2vXX4AFEesEiyn3igaP9Va2JBNGWdljy9xaR1-f4qKk-gwLzLJHO9tHUVoV6SlewA,Montres molles célèbres,Thématique & Mystère,-
13,Composition VIII,Wassily Kandinsky,Abstraction,Épique,https://upload.wikimedia.org/wikipedia/commons/4/47/Vassily_Kandinsky%2C_1923_-_Composition_8%2C_huile_sur_toile%2C_140_cm_x_201_cm%2C_Mus%C3%A9e_Guggenheim%2C_New_York.jpg,Art abstrait,Thématique,-
14,La Danse,Henri Matisse,Fauvisme,Rare,https://upload.wikimedia.org/wikipedia/commons/d/d6/La_Danse_I%2C_par_Henri_Matisse.jpg,Oeuvre colorée,Thématique,-
15,Le Jardin des délices,Hieronymus Bosch,Renaissance,Épique,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/The_Garden_of_earthly_delights.jpg/1024px-The_Garden_of_earthly_delights.jpg,Triptyque célèbre,Thématique & Mystère,-
16,L’Origine du monde,Gustave Courbet,Réalisme,Rare,https://upload.wikimedia.org/wikipedia/commons/3/3f/Origin-of-the-World.jpg,Oeuvre controversée,Thématique,-
17,La Grande Vague,Hokusai,Ukiyo-e,Rare,https://upload.wikimedia.org/wikipedia/commons/a/a5/Tsunami_by_hokusai_19th_century.jpg,Gravure japonaise célèbre,Thématique,-
18,Les Demoiselles d’Avignon,Pablo Picasso,Cubisme,Épique,https://www.studiarapido.it/wp-content/uploads/2014/04/les-demoiselles-davignon.jpg,Peinture cubiste majeure,Thématique & Mystère,-
